sale_date,address,lot,property_type,rooms,floor,square_meters,price,difference_rate,latitude,longitude
08.05.2023,אנטיגונוס 1,6212-1192-20,,3,,83,5550000,,32.093145,34.784232
08.05.2023,שיבת ציון 4,6948-61-35,דירה בבית קומות,5,ראשונה,123,6000000,,32.055821,34.774727
08.05.2023,יחזקאל 44,6959-20-6,,3,,68,4960000,,32.094382,34.777184
08.05.2023,מרכלת 4,7083-189-3,דירה בבית קומות,3,ה 1,77.20,3800000,,,
08.05.2023,מינץ בנימין 16,6636-704-13,,5,,145,8200000,,,
08.05.2023,,6628-863-1,מחסנים,0,,112000,,
07.05.2023,קרליבך 4,7104-289-623,חניה,0,,90000,,,32.067257,34.783675
07.05.2023,יוחנן הסנדלר 14,7430-46-2,דירה בבית קומות,3,שניה,62,3945000,,32.06907,34.773341
07.05.2023,נחל שורק 18,7074-79-8,דירה בבית קומות,2,רביעית,37,1820000,,32.039196,34.76063
07.05.2023,נחמני 59,6941-70-4,דירה בבית קומות,3,שלישית,60,5000000,,32.064552,34.780451
07.05.2023,מיטב 1,7096-64-178,דירה בבית קומות,3,שתים עשרה,84,3600000,,32.064986,34.794682
05.05.2023,בעל הטורים 4,7081-88-47,דירה בבית קומות,3,רביעית,65,1735000,,32.050553,34.75564
05.05.2023,הגבור האלמוני 33,6133-1034-21,דירה בבית קומות,3,ראשונה,61,2500000,,,
05.05.2023,אחיעזר 15,6135-3-126,,2,,35,1100000,,32.052936,34.792811
04.05.2023,מעפילי אגוז 1,7241-28-90,דירה בבית קומות,4,שישית,72,2086000,,32.049621,34.811672
04.05.2023,קלמר משה 3,6133-505-3,דירה בבית קומות,3,ראשונה,64,1400000,,,
04.05.2023,תוצרת הארץ 5,7094-105-139,דירה בבית קומות,5,עשרים ושבע,126,6200000,,32.0735016,34.7967239
03.05.2023,אלנבי 35,6913-30-12,דירה בבית קומות,2,ראשונה,52.13,2380000,,32.071702,34.76967
03.05.2023,יוחננוף כהן שמואל 6,6970-101-31,דירה בבית קומות,4,שביעית,90.80,2850000,,32.046942,34.778065
03.05.2023,הירקון 61,6907-15-19,דירה בבית קומות,1,שלישית,23,1410000,,32.075614,34.766495
03.05.2023,הרצל 116,7082-1-27,,5,שלוש עשרה,137,7200000,,32.054357,34.770579
03.05.2023,לה גארדיה 69,6133-467-20,דירה בבית קומות,2,שישית,50,2420000,,,
03.05.2023,כהנשטם 9,6213-734-9,,3,,88,1310000,,32.089752,34.787848
03.05.2023,שפינוזה 11,6903-10-7,דירה בבית קומות,3,רביעית,67,3400000,,32.080636,34.775921
03.05.2023,,6634-15-13,דירה בבית קומות,3,שלישית,65,4860000,
02.05.2023,לה גארדיה 69,6133-467-11,,2,שניה,50,2420000,,,
02.05.2023,דיזנגוף 179,6902-162-33,דירה בבית קומות,2,רביעית+חמישית,40.90,3100000,,32.085377,34.774375
02.05.2023,שטרוק 11,6217-265-12,,3,,74,4625000,,32.083236,34.782017
02.05.2023,עגנון שי 28,6634-336-141,דירה בבית קומות,5,ראשונה,127,7500000,,,
02.05.2023,אלנבי 35,6913-30-5,,2,,53,2380000,,32.071702,34.76967
02.05.2023,לה גארדיה 69,6133-467-10,,2,,50,2410000,,,
02.05.2023,סמאטס 20,6212-1110-20,דירה בבית קומות,5,חמישית,120,10000000,,32.092966,34.789767
01.05.2023,שגאל מרק 11,6883-4-9,קרקע למגורים,0,ה 3,118.88,203000,,32.118119,34.789197
01.05.2023,שלמה המלך 24,6903-126-2,דירה בבית קומות,2,קרקע,43.30,2450000,,32.078429,34.776904
01.05.2023,מרים החשמונאית 18,6212-987-25,חניה,0,ראשונה,70.60,227000,,32.092777,34.784133
01.05.2023,פיינשטיין 2,6631-139-2,חניה,0,קרקע  ,125000,,,32.127621,34.79918
01.05.2023,יחזקאל 44,6959-20-8,דירה בבית קומות,3,רביעית,71,5506000,,32.094382,34.777184
01.05.2023,מרים החשמונאית 14,6212-987-21,חניה,3,שלישית,70.60,196000,,32.092414,34.784063
01.05.2023,,6634-100-14,,5,שמינית,127,7500000,
30.04.2023,יחזקאל 44,6959-20-4,,3,שניה,71,5500000,,32.094382,34.777184
30.04.2023,הקשת 11,7065-219-30,דירה בבית קומות,3,שלישית,56.95,2340000,,32.042571,34.774131
30.04.2023,יחזקאל 44,6959-20-5,,3,,81,5962554,,32.094382,34.777184
30.04.2023,אחימעץ 24,6135-339-2,דירה בבית קומות,5,קרקע,95.71,3210000,,32.048229,34.79612
30.04.2023,,6970-63-3,דירה בבית קומות,3,רביעית,82,3284000,
30.04.2023,לה גארדיה 65,6133-465-19,דירה בבית קומות,4,חמישית,95,3920000,,,
30.04.2023,לה גארדיה 69,6133-467-22,דירה בבית קומות,2,שישית,50,2430000,,,
30.04.2023,טאגור רבינדרנארט 8,6649-229-39,דירה בבית קומות,5,שניה,125,7500000,,,
30.04.2023,ברלין ישעיהו 1,6970-103-79,דירה בבית קומות,3,שישית,70,3031000,,,
30.04.2023,בני דן 68,6212-1245-2,דירה בבית קומות,4,עמודים,85,6361000,,32.096293,34.792585
30.04.2023,שלונסקי 54,6625-1311-29,דירה בבית קומות,4,רביעית,89,3200000,,32.1168644,34.8216586
30.04.2023,לסל 22,6902-234-6,דירה בבית קומות,4,שלישית,76.70,5225000,,32.0856013,34.7723204
29.04.2023,לה גארדיה 69,6133-467-9,,2,שניה,50,2430000,,,
29.04.2023,לה גארדיה 65,6133-465-10,,4,,95,3920000,,,
29.04.2023,ברלין ישעיהו 1,6970-103-78,,3,שישית,70,3025000,,,
28.04.2023,סומקן 4,6997-175-16,דירה בבית קומות,3,רביעית,48.52,1910000,,32.033484,34.757896
28.04.2023,אשכול לוי 55,6884-26-81,דירה בבית קומות,5,חמישית,113,5100000,,32.0376934,34.7776186
27.04.2023,מעפילי אגוז 75,7244-15-25,דירה בבית קומות,3,שביעית,62,2285000,,32.054385,34.808713
27.04.2023,ששת הימים 33,6146-449-32,דירה בבית קומות,3,שמינית,60.76,1700000,,32.048516,34.809592
27.04.2023,בן שפרוט 21,6213-423-16,דירה בבית קומות,4,ראשונה,88,5600000,,32.087519,34.784456
27.04.2023,כוכבי יצחק 7,6981-233-19,דירה בבית קומות,4,חמישית,80,2595000,,32.047991,34.783038
27.04.2023,נחלת יצחק 9,7093-49-53,דירה בבית קומות,5,עשרים ואחת,112,5964000,,32.075124,34.796896
27.04.2023,הכרמל 20,7227-20-7,דירה בבית קומות,2,ראשונה,54.70,2890000,,32.066907,34.766976
27.04.2023,בני אפרים 210,6636-784-38,דירה בבית קומות,3,שניה,77,4100000,,32.112438,34.817133
27.04.2023,הסוללים 1,7094-123-45,מחסנים,0,,118000,,,32.071329,34.796313
27.04.2023,משגב עם 4,7065-216-20,דירה בבית קומות,4,שישית,100,2856000,,32.042254,34.773791
27.04.2023,קרליבך 4,7104-289-624,דירה בבית קומות,5,חמש עשרה,142,7520000,,32.067257,34.783675
26.04.2023,משגב עם 4,7065-216-19,,4,,120,2850000,,32.042254,34.773791
26.04.2023,בן שפרוט 21,6213-423-15,,4,,88,5600000,,32.087519,34.784456
25.04.2023,קהילת קליבלנד 8,7321-26-9,דירה בבית קומות,3,שלישית,65.40,1364000,,32.117434,34.843029
25.04.2023,קהילת קנדה 27,7050-169-10,דירה בבית קומות,2,שניה,40,1600000,,32.031481,34.752512
24.04.2023,אידלסון אברהם 28,6913-19-6,דירה בבית קומות,3,שניה,67.05,5900000,,,
24.04.2023,הרצל 77,7084-228-3,משרד,0,מרתף,129,1500000,,32.056477,34.770981
24.04.2023,קהילת ורשה 81,6636-355-3,דירה בבית קומות,4,ראשונה,96,3965000,,32.109127,34.821763
24.04.2023,בית צורי אליהו 7,6631-232-14,דירה בבית קומות,5,רביעית,114.67,5200000,,,
24.04.2023,בלפור 69,7434-10-3,דירה בבית קומות,3,ראשונה,60.40,4100000,,32.066432,34.778738
24.04.2023,,6634-15-15,דירה בבית קומות,3,שישית,85,4600000,
24.04.2023,העליה 27,9020-4-22,דירה בבית קומות,2,שניה,62,3260000,,,
23.04.2023,לפין 6,7227-72-2,דירה בבית קומות,3,שניה,70.32,5250000,,32.065806,34.766028
23.04.2023,פרזון 7,6134-622-26,דירה בבית קומות,4,רביעית,86,3207000,,32.055052,34.797589
23.04.2023,בצלאל 9,6217-70-2,דירה בבית קומות,4,חמישית,108,7500000,,32.0822507,34.7832898
23.04.2023,קרליבך 4,7104-289-622,דירה בבית קומות,5,עשרים וארבע,90,4570000,,32.067257,34.783675
23.04.2023,בצלאל 31,6217-290-3,דירה בבית קומות,3,ראשונה,55,5211000,,32.08301,34.785268
23.04.2023,,6634-15-17,דירה בבית קומות,2,שניה,41,3600000,
